"Product","City","Channel","Price","Brand","Prod.Type","Date"
"Prod. 1","City 5","Channel 1",25,"Brand 6","Prod. Type 3","Date4"
"Prod. 1","City 5","Channel 2",36.9,"Brand 6","Prod. Type 3","Date4"
"Prod. 1","City 5","Channel 2",43,"Brand 6","Prod. Type 3","Date4"
"Prod. 1","City 5","Channel 2",38,"Brand 6","Prod. Type 3","Date4"
"Prod. 1","City 5","Channel 2",45,"Brand 6","Prod. Type 3","Date4"
"Prod. 1","City 5","Channel 3",28.5,"Brand 6","Prod. Type 3","Date4"
"Prod. 1","City 5","Channel 3",19.9,"Brand 6","Prod. Type 3","Date4"
"Prod. 1","City 5","Channel 4",26,"Brand 6","Prod. Type 3","Date4"
"Prod. 1","City 5","Channel 4",45,"Brand 6","Prod. Type 3","Date4"
"Prod. 1","City 4","Channel 2",39,"Brand 6","Prod. Type 3","Date4"
"Prod. 1","City 4","Channel 2",45.9,"Brand 6","Prod. Type 3","Date4"
"Prod. 1","City 4","Channel 2",22,"Brand 6","Prod. Type 3","Date4"
"Prod. 1","City 4","Channel 4",27,"Brand 6","Prod. Type 3","Date4"
"Prod. 1","City 1","Channel 2",24.9,"Brand 6","Prod. Type 3","Date4"
"Prod. 1","City 1","Channel 3",27.1,"Brand 6","Prod. Type 3","Date4"
"Prod. 1","City 1","Channel 3",24.9,"Brand 6","Prod. Type 3","Date4"
"Prod. 1","City 2","Channel 1",28,"Brand 6","Prod. Type 3","Date4"
"Prod. 1","City 2","Channel 1",29.9,"Brand 6","Prod. Type 3","Date4"
"Prod. 1","City 2","Channel 1",25,"Brand 6","Prod. Type 3","Date4"
"Prod. 1","City 2","Channel 2",31.5,"Brand 6","Prod. Type 3","Date4"
"Prod. 1","City 2","Channel 2",37.9,"Brand 6","Prod. Type 3","Date4"
"Prod. 1","City 2","Channel 3",28,"Brand 6","Prod. Type 3","Date4"
"Prod. 1","City 2","Channel 3",25,"Brand 6","Prod. Type 3","Date4"
"Prod. 1","City 2","Channel 4",25,"Brand 6","Prod. Type 3","Date4"
"Prod. 1","City 2","Channel 4",23,"Brand 6","Prod. Type 3","Date4"
"Prod. 1","City 3","Channel 2",22,"Brand 6","Prod. Type 3","Date4"
"Prod. 1","City 3","Channel 2",38,"Brand 6","Prod. Type 3","Date4"
"Prod. 1","City 3","Channel 3",35,"Brand 6","Prod. Type 3","Date4"
"Prod. 1","City 3","Channel 4",28,"Brand 6","Prod. Type 3","Date4"
"Prod. 1","City 3","Channel 4",30,"Brand 6","Prod. Type 3","Date4"
"Prod. 1","City 3","Channel 4",27,"Brand 6","Prod. Type 3","Date4"
"Prod. 2","City 5","Channel 1",37,"Brand 6","Prod. Type 6","Date4"
"Prod. 2","City 5","Channel 2",25.9,"Brand 6","Prod. Type 6","Date4"
"Prod. 2","City 5","Channel 3",22.5,"Brand 6","Prod. Type 6","Date4"
"Prod. 2","City 5","Channel 3",21.5,"Brand 6","Prod. Type 6","Date4"
"Prod. 2","City 5","Channel 3",29,"Brand 6","Prod. Type 6","Date4"
"Prod. 2","City 5","Channel 4",29,"Brand 6","Prod. Type 6","Date4"
"Prod. 2","City 5","Channel 4",34,"Brand 6","Prod. Type 6","Date4"
"Prod. 2","City 5","Channel 4",32,"Brand 6","Prod. Type 6","Date4"
"Prod. 2","City 5","Channel 4",39,"Brand 6","Prod. Type 6","Date4"
"Prod. 2","City 4","Channel 1",28,"Brand 6","Prod. Type 6","Date4"
"Prod. 2","City 4","Channel 1",23,"Brand 6","Prod. Type 6","Date4"
"Prod. 2","City 4","Channel 2",39,"Brand 6","Prod. Type 6","Date4"
"Prod. 2","City 4","Channel 2",45.9,"Brand 6","Prod. Type 6","Date4"
"Prod. 2","City 4","Channel 2",25,"Brand 6","Prod. Type 6","Date4"
"Prod. 2","City 4","Channel 4",37,"Brand 6","Prod. Type 6","Date4"
"Prod. 2","City 1","Channel 1",32,"Brand 6","Prod. Type 6","Date4"
"Prod. 2","City 1","Channel 2",29.9,"Brand 6","Prod. Type 6","Date4"
"Prod. 2","City 1","Channel 3",25.9,"Brand 6","Prod. Type 6","Date4"
"Prod. 2","City 1","Channel 4",29.9,"Brand 6","Prod. Type 6","Date4"
"Prod. 2","City 1","Channel 4",28,"Brand 6","Prod. Type 6","Date4"
"Prod. 2","City 2","Channel 1",36,"Brand 6","Prod. Type 6","Date4"
"Prod. 2","City 2","Channel 1",36,"Brand 6","Prod. Type 6","Date4"
"Prod. 2","City 2","Channel 1",33,"Brand 6","Prod. Type 6","Date4"
"Prod. 2","City 2","Channel 1",30,"Brand 6","Prod. Type 6","Date4"
"Prod. 2","City 2","Channel 2",27,"Brand 6","Prod. Type 6","Date4"
"Prod. 2","City 2","Channel 2",49.9,"Brand 6","Prod. Type 6","Date4"
"Prod. 2","City 2","Channel 2",37.9,"Brand 6","Prod. Type 6","Date4"
